season,week,game_type,team,position,depth_chart_position,jersey_number,status,status_description_abbr,full_name,football_name,first_name,last_name,gsis_id,pfr_id,espn_id,sleeper_id,years_exp,rookie_year,birth_date,height,weight,college,entry_year,draft_club,draft_number,pfr_id_conflict,pfr_id_source,data_split
2018,1,REG,ARI,OL,OT,78,CUT,,Vinston Painter,Vinston,Vinston,Painter,00-0030096,PainVi00,,,5,2013,,76.0,318,Virginia Tech,2013,DEN,,false,player_identity,training
2018,1,REG,ARI,WR,WR,15,CUT,,Rashad Ross,Rashad,Rashad,Ross,00-0030187,RossRa00,16566,1724,5,2013,,72.0,180,Arizona State,2013,,,false,player_identity,training
2018,1,REG,ARI,DL,DE,91,ACT,A01,Benson Mayowa,Benson,Benson,Mayowa,00-0030380,MayoBe00,16528,1764,5,2013,1991-08-03,75.0,240,Idaho,2013,,,false,player_identity,training
2018,1,REG,ARI,LB,ILB,51,ACT,A01,Gerald Hodges,Gerald,Gerald,Hodges,00-0030385,HodgGe00,15977,1532,5,2013,1991-01-17,74.0,236,Penn State,2013,MIN,120,false,player_identity,training
2018,1,REG,ARI,DB,CB,28,ACT,A01,Jamar Taylor,Jamar,Jamar,Taylor,00-0030484,TaylJa01,15866,1359,5,2013,1990-09-29,71.0,192,Boise State,2013,MIA,54,false,player_identity,training
2018,1,REG,ARI,WR,WR,12,CUT,,Brice Butler,Brice,Brice,Butler,00-0030516,ButlBr00,15896,1471,5,2013,1990-01-29,75.0,220,San Diego State,2013,OAK,,false,player_identity,training
2018,1,REG,ARI,QB,QB,7,ACT,A01,Mike Glennon,Mike,Michael,Glennon,00-0030520,GlenMi00,15837,1559,5,2013,1989-12-12,78.0,229,North Carolina State,2013,TB,73,false,player_identity,training
2018,1,REG,ARI,OL,G,67,ACT,A01,Justin Pugh,Justin,Justin,Pugh,00-0030585,PughJu00,,,5,2013,1990-08-15,77.0,301,Syracuse,2013,NYG,19,false,player_identity,training
2018,1,REG,ARI,OL,G,68,ACT,A01,Jeremy Vujnovich,Jeremy,Jeremy,Vujnovich,00-0030629,VujnJe00,,,5,2014,1990-10-12,77.0,300,Louisiana College,2013,,,false,player_identity,training
2018,1,REG,ARI,DB,CB,32,CUT,,Lou Young,Lou,Lou,Young,00-0030675,YounLo00,,,4,2014,,73.0,205,Georgia Tech,2014,,,false,player_identity,training
2018,1,REG,ARI,OL,C,66,CUT,,Josh Allen,Josh,Josh,Allen,00-0030833,AlleJo00,,,4,2014,,75.0,315,Louisiana-Monroe,2014,,,false,player_identity,training
2018,1,REG,ARI,DL,DT,97,ACT,A01,Garrison Smith,Garrison,Garrison,Smith,00-0030871,SmitGa01,17253,1830,4,2014,1991-10-09,73.0,295,Georgia,2014,,,false,player_identity,training
2018,1,REG,ARI,DL,DE,56,ACT,A01,Zach Moore,Zach,Zach,Moore,00-0031081,MoorZa00,16959,1843,4,2014,1990-09-05,78.0,275,Concordia-St. Paul,2014,NE,198,false,player_identity,training
2018,1,REG,ARI,DB,FS,33,ACT,A01,Tre Boston,Tre,Jayestin,Boston,00-0031261,BostTr00,16877,2184,4,2014,1992-06-25,73.0,205,North Carolina,2014,CAR,128,false,player_identity,training
2018,1,REG,ARI,DB,CB,23,ACT,A01,Bene' Benwikere,Bene',Bene',Benwikere,00-0031262,BenwBe00,16872,2183,4,2014,1991-09-03,72.0,195,San Jose State,2014,CAR,148,false,player_identity,training
2018,1,REG,ARI,LB,ILB,20,ACT,A01,Deone Bucannon,Deone,Deone,Bucannon,00-0031366,BucaDe00,16723,2240,4,2014,1992-08-30,73.0,211,Washington State,2014,ARI,27,false,player_identity,training
2018,1,REG,ARI,LB,LB,58,CUT,,Edmond Robinson,Edmond,Edmond,Robinson,00-0031624,RobiEd00,3137087,2531,3,2015,1992-02-23,75.0,245,Newberry,2015,MIN,,false,player_identity,training
2018,1,REG,ARI,LB,ILB,50,RES,,Gabe Martin,Gabe,Gabe,Martin,00-0031707,MartGa00,2515838,2843,3,2015,1992-06-05,74.0,236,Bowling Green State,2015,,,false,player_identity,training
2018,1,REG,ARI,DB,DB,45,CUT,,Tim Scott,Tim,Tim,Scott,00-0031754,ScotTi00,,,3,2015,,71.0,195,North Carolina,2015,,,false,player_identity,training
2018,1,REG,ARI,OL,OT,75,ACT,A01,Blaine Clausell,Blaine,Blaine,Clausell,00-0031764,ClauBl01,,,3,2015,1992-01-31,78.0,330,Mississippi State,2015,,,false,player_identity,training
2018,1,REG,ARI,TE,TE,85,ACT,A01,Gabe Holmes,Gabe,Gabrison,Holmes,00-0031884,HolmGa00,2468368,2714,3,2015,1991-03-29,77.0,255,Purdue,2015,,,false,player_identity,training
2018,1,REG,ARI,DL,DT,72,ACT,A01,Olsen Pierre,Olsen,Olsen,Pierre,00-0031914,PierOl00,2579622,3000,3,2015,1991-08-27,77.0,293,Miami,2015,,,false,player_identity,training
2018,1,REG,ARI,DL,DE,61,CUT,,Cap Capi,Cap,Cap,Capi,00-0031982,CapiNo00,,,3,2015,,75.0,249,Akron,2015,,,false,player_identity,training
2018,1,REG,ARI,DB,DB,27,CUT,,Travell Dixon,Travell,Travell,Dixon,00-0032014,DixoTr01,,,3,2015,,73.0,210,Washington,2015,,,false,player_identity,training
2018,1,REG,ARI,WR,WR,14,ACT,A01,J.J. Nelson,J.J.,Jamarcus,Nelson,00-0032112,NelsJJ00,2515759,2462,3,2015,1992-04-24,70.0,160,Alabama-Birmingham,2015,ARI,159,false,player_identity,training
2018,1,REG,ARI,DL,DE,44,ACT,A01,Markus Golden,Markus,Markus,Golden,00-0032127,GoldMa00,2971432,2363,3,2015,1991-03-13,75.0,260,Missouri,2015,ARI,58,false,player_identity,training
2018,1,REG,ARI,DL,DT,95,ACT,A01,Rodney Gunter,Rodney,Rodney,Gunter,00-0032131,GuntRo00,2507719,2421,3,2015,1992-01-19,77.0,305,Delaware State,2015,ARI,116,false,player_identity,training
2018,1,REG,ARI,RB,RB,31,ACT,A01,David Johnson,David,David,Johnson,00-0032187,JohnDa08,2508176,2391,3,2015,1991-12-16,73.0,224,Northern Iowa,2015,ARI,86,false,player_identity,training
2018,1,REG,ARI,OL,C,62,ACT,A01,Daniel Munyer,Daniel,Daniel,Munyer,00-0032192,MunyDa00,,,3,2015,1992-03-04,73.0,305,Colorado,2015,,,false,player_identity,training
2018,1,REG,ARI,OL,OT,74,ACT,A01,D.J. Humphries,D.J.,DeMarcus,Humphries,00-0032222,HumpD.00,,,3,2015,1993-12-28,77.0,307,Florida,2015,ARI,24,false,player_identity,training
2018,1,REG,ARI,DL,DE,59,CUT,,Vontarrius Dora,Vontarrius,Vontarrius,Dora,00-0032484,DoraVo00,2574163,3623,2,2016,1992-09-07,76.0,256,Louisiana Tech,2016,,,false,player_identity,training
2018,1,REG,ARI,DL,OLB,54,CUT,,Bryson Albright,Bryson,Bryson,Albright,00-0032491,AlbrBr00,,,2,2016,,77.0,235,Miami (Ohio),2016,,,false,player_identity,training
2018,1,REG,ARI,RB,RB,37,RES,,D.J. Foster,D.J.,D.J.,Foster,00-0032577,FostD.01,2978124,3488,2,2016,1993-11-22,72.0,195,Arizona State,2016,,,false,player_identity,training
2018,1,REG,ARI,TE,TE,80,CUT,,Bryce Williams,Bryce,Bryce,Williams,00-0032583,WillBr08,,,2,2016,,78.0,260,East Carolina,2016,,,false,player_identity,training
2018,1,REG,ARI,DL,DT,90,ACT,A01,Robert Nkemdiche,Robert,Robert,Nkemdiche,00-0032761,NkemRo00,3051886,3180,2,2016,1994-09-19,76.0,296,Mississippi,2016,ARI,29,false,player_identity,training
2018,1,REG,ARI,DB,CB,26,ACT,A01,Brandon Williams,Brandon,Brandon,Williams,00-0032769,WillBr07,2972286,1696,2,2016,1992-09-09,72.0,200,Texas A&amp;M,2016,ARI,92,false,player_identity,training
2018,1,REG,ARI,DB,CB,35,CUT,,Harlan Miller,Harlan,Harlan,Miller,00-0032798,MillHa00,2974631,3361,2,2016,1994-06-20,72.0,182,Southeastern Louisiana,2016,ARI,,false,player_identity,training
2018,1,REG,ARI,RB,RB,35,DEV,,Elijhaa Penny,Elijhaa,Elijhaa,Penny,00-0032813,PennEl00,2575965,3803,2,2016,1993-08-17,74.0,234,Idaho,2016,,,false,player_identity,training
2018,1,REG,ARI,DL,DT,75,CUT,,Tani Tupou,Tani,Tani,Tupou,00-0032852,TupoTa01,,,2,2016,,73.0,284,Washington,2016,,,false,player_identity,training
2018,1,REG,ARI,LB,ILB,56,CUT,,Scooby Wright,Scooby,Scooby,Wright,00-0032979,WrigSc00,,,2,2016,,72.0,240,Arizona,2016,CLE,,false,player_identity,training
2018,1,REG,ARI,LB,OLB,52,RES,,Jeremy Cash,Jeremy,Jeremy,Cash,00-0032994,CashJe00,2576378,3436,2,2016,1992-12-09,72.0,230,Duke,2016,,,false,player_identity,training
2018,1,REG,ARI,DB,DB,36,DEV,,Demetrious Cox,Demetrious,Demetrious,Cox,00-0033339,CoxxDe00,2979535,4363,1,2017,1994-04-20,72.0,200,Michigan State,2017,,,false,player_identity,training
2018,1,REG,ARI,DL,DE,76,CUT,,Praise Martin-Oguike,Praise,Praise,Martin-Oguike,00-0033404,,,,1,2017,,73.0,256,Temple,2017,,,false,unavailable,training
2018,1,REG,ARI,DB,CB,25,CUT,,Jonathan Moxey,Jonathan,Jonathan,Moxey,00-0033432,MoxeJo00,,,1,2017,1995-01-14,70.0,188,Boise State,2017,,,false,player_identity,training
2019,1,REG,ARI,LB,OLB,56,ACT,A01,Terrell Suggs,Terrell,Terrell,Suggs,00-0022161,SuggTe99,4468,296,16,2003,1982-10-11,75.0,265,Arizona State,2003,BAL,10,false,player_identity,training
2019,1,REG,ARI,P,P,4,ACT,A01,Andy Lee,Andy,Andy,Lee,00-0022824,LeexAn20,5713,112,15,2004,1982-08-11,73.0,185,Pittsburgh,2004,SF,188,false,player_identity,training
2019,1,REG,ARI,WR,WR,11,ACT,A01,Larry Fitzgerald,Larry,Larry,Fitzgerald,00-0022921,FitzLa00,5528,223,15,2004,1983-08-31,75.0,218,Pittsburgh,2004,ARI,3,false,player_identity,training
2019,1,REG,ARI,OL,C,53,ACT,A01,A.Q. Shipley,A.Q.,Allan,Shipley,00-0026950,ShipA.20,,,10,2009,1986-05-22,73.0,307,Penn State,2009,PIT,226,false,player_identity,training
2019,1,REG,ARI,DL,DT,93,ACT,A01,Clinton McDonald,Clinton,Clinton,McDonald,00-0026964,McDoCl99,12692,757,10,2009,1987-01-06,74.0,297,Memphis,2009,CIN,249,false,player_identity,training
2019,1,REG,ARI,WR,WR,15,ACT,A01,Michael Crabtree,Michael,Michael,Crabtree,00-0026986,CrabMi00,12563,455,10,2009,1987-09-14,73.0,214,Texas Tech,2009,SF,10,false,player_identity,training
2019,1,REG,ARI,DB,CB,20,ACT,A01,Tramaine Brock,Tramaine,Tramaine,Brock,00-0027375,BrocTr00,13681,633,9,2010,1988-08-20,72.0,188,Belhaven,2010,,,false,player_identity,training
2019,1,REG,ARI,DL,DT,98,ACT,A01,Corey Peters,Corey,Corey,Peters,00-0027686,PeteCo00,13292,608,9,2010,1988-06-08,75.0,335,Kentucky,2010,ATL,83,false,player_identity,training
2019,1,REG,ARI,DB,CB,21,SUS,,Patrick Peterson,Patrick,Patrick,Peterson,00-0027943,PetePa00,13980,972,8,2011,1990-07-11,73.0,203,Louisiana State,2011,ARI,,false,player_identity,training
2019,1,REG,ARI,LB,LB,50,ACT,A01,Brooks Reed,Brooks,Brooks,Reed,00-0027980,ReedBr00,13997,855,8,2011,1987-02-28,75.0,254,Arizona,2011,HOU,42,false,player_identity,training
2019,1,REG,ARI,OL,OT,76,ACT,A01,Marcus Gilbert,Marcus,Marcus,Gilbert,00-0028001,GilbMa00,,,8,2011,1988-02-15,78.0,330,Florida,2011,PIT,63,false,player_identity,training
2019,1,REG,ARI,DL,DT,90,CUT,,Terrell McClain,Terrell,Terrell,McClain,00-0028003,McClTe00,14014,953,8,2011,1988-07-20,74.0,302,South Florida,2011,CAR,,false,player_identity,training
2019,1,REG,ARI,TE,TE,85,ACT,A01,Charles Clay,Charles,Charles,Clay,00-0028112,ClayCh00,14145,801,8,2011,1989-02-13,75.0,246,Tulsa,2011,MIA,174,false,player_identity,training
2019,1,REG,ARI,LS,LS,46,ACT,A01,Aaron Brewer,Aaron,Aaron,Brewer,00-0028946,BrewAa00,15241,1122,7,2012,1990-07-05,77.0,232,San Diego State,2012,,,false,player_identity,training
2019,1,REG,ARI,OL,G,64,ACT,A01,J.R. Sweezy,J.R.,Justin,Sweezy,00-0029146,SweeJ.00,15025,1243,7,2012,1989-04-08,77.0,310,North Carolina State,2012,SEA,225,false,player_identity,training
2019,1,REG,ARI,LB,LB,55,ACT,A01,Chandler Jones,Chandler,Chandler,Jones,00-0029585,JoneCh03,14927,1038,7,2012,1990-02-27,77.0,265,Syracuse,2012,NE,21,false,player_identity,training
2019,1,REG,ARI,DL,DE,49,CUT,,Andre Branch,Andre,Andre,Branch,00-0029600,BranAn00,14952,1116,7,2012,,77.0,263,Clemson,2012,JAX,,false,player_identity,training
2019,1,REG,ARI,DB,CB,23,RES,,Robert Alford,Robert,Robert,Alford,00-0030528,AlfoRo00,15817,1540,6,2013,1988-11-01,70.0,186,Southeastern Louisiana,2013,ATL,,false,player_identity,training
2019,1,REG,ARI,DB,FS,36,ACT,A01,D.J. Swearinger,D.J.,Dayario,Swearinger,00-0030566,SweaDJ00,15865,1429,6,2013,1991-09-01,70.0,205,South Carolina,2013,HOU,57,false,player_identity,training
2019,1,REG,ARI,OL,G,67,ACT,A01,Justin Pugh,Justin,Justin,Pugh,00-0030585,PughJu00,,,6,2013,1990-08-15,77.0,311,Syracuse,2013,NYG,19,false,player_identity,training
2019,1,REG,ARI,OL,G,68,ACT,A01,Jeremy Vujnovich,Jeremy,Jeremy,Vujnovich,00-0030629,VujnJe00,,,6,2014,1990-10-12,77.0,300,Louisiana College,2013,,,false,player_identity,training
2019,1,REG,ARI,DL,DE,54,ACT,A01,Cassius Marsh,Cassius,Cassius,Marsh,00-0031175,MarsCa00,16873,2275,5,2014,1992-07-07,76.0,245,UCLA,2014,SEA,108,false,player_identity,training
2019,1,REG,ARI,WR,WR,18,CUT,,Kevin White,Kevin,Kevin,White,00-0031545,WhitKe00,3042435,2312,4,2015,1992-06-25,75.0,216,West Virginia,2015,CHI,,false,player_identity,training
2019,1,REG,ARI,TE,TE,87,ACT,A01,Maxx Williams,Maxx,Maxx,Williams,00-0031558,WillMa04,2970726,2360,4,2015,1994-04-12,76.0,252,Minnesota,2015,BAL,55,false,player_identity,training
2019,1,REG,ARI,QB,QB,7,ACT,A01,Brett Hundley,Brett,Brett,Hundley,00-0031589,HundBr00,2577189,2450,4,2015,1993-06-15,75.0,226,UCLA,2015,GB,147,false,player_identity,training
2019,1,REG,ARI,WR,WR,14,ACT,A01,Damiere Byrd,Damiere,Damiere,Byrd,00-0031868,ByrdDa00,2577667,2673,4,2015,1993-01-27,69.0,180,South Carolina,2015,,,false,player_identity,training
2019,1,REG,ARI,DL,DT,93,CUT,,Darius Philon,Darius,Darius,Philon,00-0032116,PhilDa01,2980071,2493,4,2015,,73.0,286,Arkansas,2015,SD,,false,player_identity,training
2019,1,REG,ARI,LB,MLB,58,ACT,A01,Jordan Hicks,Jordan,Jordan,Hicks,00-0032129,HickJo00,2514270,2389,4,2015,1992-06-27,73.0,236,Texas,2015,PHI,84,false,player_identity,training
2019,1,REG,ARI,DL,DT,95,ACT,A01,Rodney Gunter,Rodney,Rodney,Gunter,00-0032131,GuntRo00,2507719,2421,4,2015,1992-01-19,77.0,305,Delaware State,2015,ARI,116,false,player_identity,training
2019,1,REG,ARI,OL,G,73,PUP,,Max Garcia,Max,Max,Garcia,00-0032132,GarcMa00,,,4,2015,1991-11-09,76.0,309,Florida,2015,DEN,,false,player_identity,training
2019,1,REG,ARI,DB,CB,27,RES,,Josh Shaw,Josh,Josh,Shaw,00-0032168,ShawJo00,2971605,2425,4,2015,1992-03-27,73.0,197,Southern California,2015,CIN,,false,player_identity,training
2019,1,REG,ARI,RB,RB,31,ACT,A01,David Johnson,David,David,Johnson,00-0032187,JohnDa08,2508176,2391,4,2015,1991-12-16,73.0,224,Northern Iowa,2015,ARI,86,false,player_identity,training
2019,1,REG,ARI,OL,OT,74,ACT,A01,D.J. Humphries,D.J.,DeMarcus,Humphries,00-0032222,HumpD.00,,,4,2015,1993-12-28,77.0,307,Florida,2015,ARI,24,false,player_identity,training
2019,1,REG,ARI,DL,DE,71,CUT,,Sterling Bailey,Sterling,Sterling,Bailey,00-0032344,BailSt02,,,3,2016,,75.0,296,Georgia,2016,,,false,player_identity,training
2019,1,REG,ARI,DL,DT,96,CUT,,Vincent Valentine,Vincent,Vincent,Valentine,00-0032396,ValeVi00,2974333,3260,3,2016,,75.0,331,Nebraska,2016,NE,,false,player_identity,training
2019,1,REG,ARI,OL,OT,63,RES,,Rees Odhiambo,Rees,Rees,Odhiambo,00-0032397,OdhiRe00,,,3,2016,,76.0,297,Boise State,2016,SEA,,false,player_identity,training
2019,1,REG,ARI,DL,DE,54,CUT,,Vontarrius Dora,Vontarrius,Vontarrius,Dora,00-0032484,DoraVo00,2574163,3623,3,2016,1992-09-07,76.0,256,Louisiana Tech,2016,,,false,player_identity,training
2019,1,REG,ARI,OL,OT,71,ACT,A01,Justin Murray,Justin,Justin,Murray,00-0032528,MurrJu00,,,3,2016,1993-04-19,77.0,315,Cincinnati,2016,,,false,player_identity,training
2019,1,REG,ARI,DB,FS,28,ACT,A01,Charles Washington,Charles,Charles,Washington,00-0032560,WashCh01,2579163,3714,3,2016,1993-03-10,70.0,192,Fresno State,2016,,,false,player_identity,training
2019,1,REG,ARI,RB,RB,37,ACT,A01,D.J. Foster,D.J.,Darryll,Foster,00-0032577,FostD.01,2978124,3488,3,2016,1993-11-22,72.0,205,Arizona State,2016,,,false,player_identity,training
2019,1,REG,ARI,DB,CB,26,RES,,Brandon Williams,Brandon,Brandon,Williams,00-0032769,WillBr07,2972286,1696,3,2016,1992-09-09,72.0,200,Texas A&amp;M,2016,ARI,,false,player_identity,training
2019,1,REG,ARI,OL,G,78,CUT,,Parker Ehinger,Parker,Parker,Ehinger,00-0032771,EhinPa00,,,3,2016,1992-12-30,78.0,310,Cincinnati,2016,KC,,false,player_identity,training
2019,1,REG,ARI,LB,MLB,59,ACT,A01,Joe Walker,Joe,Joseph,Walker,00-0032809,WalkJo01,3043184,3406,3,2016,1992-12-11,74.0,236,Oregon,2016,PHI,251,false,player_identity,training
2019,1,REG,ARI,DB,CB,27,ACT,A01,Kevin Peterson,Kevin,Kevin,Peterson,00-0032848,PeteKe01,2977742,3527,3,2016,1994-03-22,71.0,185,Oklahoma State,2016,,,false,player_identity,training
2019,1,REG,ARI,LB,LB,45,DEV,,Pete Robertson,Pete,Pete,Robertson,00-0032851,RobePe01,2577651,3818,3,2016,1992-12-02,74.0,243,Texas Tech,2016,,,false,player_identity,training
2019,1,REG,ARI,DL,DE,90,ACT,A01,Jonathan Bullard,Jonathan,Jonathan,Bullard,00-0033093,BullJo00,2980097,3241,3,2016,1993-10-22,75.0,296,Florida,2016,CHI,72,false,player_identity,training
2019,1,REG,ARI,TE,TE,81,ACT,A01,Darrell Daniels,Darrell,Darrell,Daniels,00-0033258,DaniDa02,3052166,4323,2,2017,1994-11-22,75.0,256,Washington,2017,,,false,player_identity,training
2019,1,REG,ARI,LB,LB,57,RES,,Pita Taumoepenu,Pita,Pita,Taumoepenu,00-0033298,TaumPi00,3055105,4279,2,2017,1994-03-09,73.0,245,Utah,2017,SF,,false,player_identity,training
2019,1,REG,ARI,DL,DT,96,CUT,,Pasoni Tasini,Pasoni,Pasoni,Tasini,00-0033614,TasiPa00,,,2,2017,,75.0,307,Utah,2017,,,false,player_identity,training
2019,1,REG,ARI,QB,QB,1,DEV,,Kyle Sloter,Kyle,Kyle,Sloter,00-0033672,SlotKy00,2972092,4588,2,2017,1994-02-07,77.0,218,Northern Colorado,2017,,,false,player_identity,training
2019,1,REG,ARI,RB,RB,33,DEV,,Justin Davis,Justin,Justin,Davis,00-0033760,DaviJu00,3043216,4635,2,2017,1995-11-11,73.0,199,USC,2017,,,false,player_identity,training
2019,1,REG,ARI,K,K,5,ACT,A01,Zane Gonzalez,Zane,Zane,Gonzalez,00-0033862,GonzZa00,3043234,4233,2,2017,1995-05-07,72.0,202,Arizona State,2017,CLE,224,false,player_identity,training
2019,1,REG,ARI,LB,ILB,43,ACT,A01,Haason Reddick,Haason,Haason,Reddick,00-0033875,ReddHa00,2980504,4063,2,2017,1994-09-22,73.0,235,Temple,2017,ARI,13,false,player_identity,training
2019,1,REG,ARI,DB,FS,32,ACT,A01,Budda Baker,Budda,Budda,Baker,00-0033890,BakeBu00,3127287,4081,2,2017,1996-01-10,70.0,195,Washington,2017,ARI,36,false,player_identity,training
2019,1,REG,ARI,DL,DT,60,CUT,,Peli Anau,Peli,Peli,Anau,00-0034012,AnauPe00,,,2,2017,,75.0,282,Northern Arizona,2017,,,false,player_identity,training
2019,1,REG,ARI,LB,LB,49,DEV,,Kylie Fitts,Kylie,Kylie,Fitts,00-0034404,FittKy00,3047582,5069,1,2018,1994-10-11,76.0,260,Utah,2018,CHI,,false,player_identity,training
2019,1,REG,ARI,OL,G,77,DEV,,Sam Jones,Sam,Sam,Jones,00-0034405,JoneSa00,,,1,2018,1996-02-21,77.0,290,Arizona State,2018,DEN,,false,player_identity,training
2019,1,REG,ARI,DB,CB,36,DEV,,Jalen Davis,Jalen,Jalen,Davis,00-0034446,DaviJa06,3125356,5222,1,2018,1996-02-02,70.0,185,Utah State,2018,,,false,player_identity,training
2019,1,REG,ARI,LB,LB,42,ACT,A01,Dennis Gardeck,Dennis,Dennis,Gardeck,00-0034473,GardDe01,4334300,5158,1,2018,1994-08-09,72.0,232,Sioux Falls,2018,,,false,player_identity,training
2019,1,REG,ARI,DB,CB,28,CUT,,Deatrick Nichols,Deatrick,Deatrick,Nichols,00-0034481,NichDe00,3126311,5159,1,2018,1994-06-08,70.0,189,South Florida,2018,,,false,player_identity,training
2019,1,REG,ARI,DB,DB,42,CUT,,Jonathan Owens,Jonathan,Jonathan,Owens,00-0034485,OwenJo01,4331768,5520,1,2018,1995-07-22,71.0,210,Missouri Western,2018,,,false,player_identity,training
2019,1,REG,ARI,WR,WR,16,ACT,A01,Trent Sherfield,Trent,Trent,Sherfield,00-0034487,SherTr00,3122168,5154,1,2018,1996-02-26,73.0,219,Vanderbilt,2018,,,false,player_identity,training
2019,1,REG,ARI,LB,LB,47,ACT,A01,Zeke Turner,Ezekiel,Ezekiel,Turner,00-0034490,TurnZe00,3894901,5161,1,2018,1996-06-09,74.0,214,Washington,2018,,,false,player_identity,training
2020,1,REG,ARI,P,P,4,ACT,A01,Andy Lee,Andy,Andy,Lee,00-0022824,LeexAn20,5713,112,16,2004,1982-08-11,73.0,185,Pittsburgh,2004,SF,188,false,player_identity,training
2020,1,REG,ARI,WR,WR,11,ACT,A01,Larry Fitzgerald,Larry,Larry,Fitzgerald,00-0022921,FitzLa00,5528,223,16,2004,1983-08-31,75.0,218,Pittsburgh,2004,ARI,3,false,player_identity,training
2020,1,REG,ARI,DL,DT,93,UFA,,Clinton McDonald,Clinton,Clinton,McDonald,00-0026964,McDoCl99,12692,757,11,2009,1987-01-06,74.0,297,Memphis,2009,CIN,,false,player_identity,training
